Landkreis;Crop;Variety;A_ha;P_per_A;P_t;Year
Elbe-Elster;Hackfruechte;Kartoffeln zusammen;NA;289.6;NA;2001-2006
Elbe-Elster;Hackfruechte;mittelfruehe und spaete Kartoffeln;NA;292.7;NA;2001-2006
Elbe-Elster;Hackfruechte;Zuckerrueben;NA;505.9;NA;2001-2006
Elbe-Elster;Huelsenfruechte;Erbsen;NA;23. Feb;NA;2001-2006
Elbe-Elster;Huelsenfruechte;Lupinen;NA;NA;NA;2001-2006
Elbe-Elster;Oelfruechte;Raps und Ruebsen zusammen;NA;NA;NA;2001-2006
Elbe-Elster;Oelfruechte;Sonnenblumen;NA;17. Mai;NA;2001-2006
Elbe-Elster;Oelfruechte;Winterraps;NA;266.843.101.908.734;NA;2001-2006
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Feldgras/Grasanbau;NA;49;NA;2001-2006
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Klee, Kleegras und Klee-Luzerne-Gemisch;NA;63.8;NA;2001-2006
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Leguminosen;NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Luzerne, Luzernegras;NA;69.9;NA;2001-2006
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Silomais;NA;345;NA;2001-2006
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Weiden;NA;37.4;NA;2001-2006
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen;NA;46;NA;2001-2006
Frankfurt (Oder) (KfS);Futterpflanzen, Dauergruenland, Gruenernte;Wiesen und Maehweiden zusammen;NA;39.5;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Brotgetreide zusammen;NA;46.8;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Futter- und Industriegetreide;NA;45.4;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Gerste zusammen;NA;59.5;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Getreide insgesamt;NA;47.1;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Getreide zur Ganzpflanzenernte;NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Getreide zusammen (ohne Koernermais und Corn-Cob-Mix);NA;46.3;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Hafer;NA;33.7;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Koernermais (einschl. Corn-Cob-Mix);NA;NA;NA;2001-2006
Frankfurt (Oder) (KfS);Getreide;Roggen;NA;46.9;NA;2001-2006
